n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
1024,4096,2,1002,1002,319,2296,7591,1670,0,7591,626,0,167.0,759.1,62.6,0.978515625,0.978515625,0.077880859375,10.0
1024,4096,2,1002,1002,334,2299,7611,1635,0,7611,664,0,163.5,761.1,66.4,0.978515625,0.978515625,0.08154296875,10.0
1024,4096,2,1002,1002,328,2205,7580,1620,0,7580,585,0,162.0,758.0,58.5,0.978515625,0.978515625,0.080078125,10.0
1024,4096,2,1002,1002,303,2236,7658,1656,0,7658,580,0,165.6,765.8,58.0,0.978515625,0.978515625,0.073974609375,10.0
2048,2048,2,4,4,0,4,4,4,0,4,0,0,0.36363636363636365,0.36363636363636365,0.0,0.001953125,0.001953125,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,2,2,0,2,2,2,0,2,0,0,0.18181818181818182,0.18181818181818182,0.0,0.0009765625,0.0009765625,0.0,11.0
2048,2048,2,2,2,0,2,2,2,0,2,0,0,0.18181818181818182,0.18181818181818182,0.0,0.0009765625,0.0009765625,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,4,4,0,4,4,4,0,4,0,0,0.36363636363636365,0.36363636363636365,0.0,0.001953125,0.001953125,0.0,11.0
2048,2048,2,4,4,0,4,4,4,0,4,0,0,0.36363636363636365,0.36363636363636365,0.0,0.001953125,0.001953125,0.0,11.0
2048,2048,2,6,6,0,6,6,6,0,6,0,0,0.5454545454545454,0.5454545454545454,0.0,0.0029296875,0.0029296875,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,62,62,0,88,173,88,0,173,0,0,8.0,15.727272727272727,0.0,0.0302734375,0.0302734375,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,5,5,0,5,6,5,0,6,0,0,0.45454545454545453,0.5454545454545454,0.0,0.00244140625,0.00244140625,0.0,11.0
2048,2048,2,26,26,0,36,58,36,0,58,0,0,3.272727272727273,5.2727272727272725,0.0,0.0126953125,0.0126953125,0.0,11.0
2048,4096,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,4096,2,1647,1647,112,2724,11940,2514,0,11940,210,0,228.54545454545453,1085.4545454545455,19.09090909090909,0.80419921875,0.80419921875,0.02734375,11.0
2048,4096,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,4096,2,1647,1647,122,2728,11782,2499,0,11782,229,0,227.1818181818182,1071.090909090909,20.818181818181817,0.80419921875,0.80419921875,0.02978515625,11.0
2048,4096,2,1647,1647,98,2660,11811,2466,0,11811,194,0,224.1818181818182,1073.7272727272727,17.636363636363637,0.80419921875,0.80419921875,0.02392578125,11.0
2048,4096,2,5,5,0,5,5,5,0,5,0,0,0.45454545454545453,0.45454545454545453,0.0,0.00244140625,0.00244140625,0.0,11.0
2048,4096,2,1647,1647,118,2661,11935,2433,0,11935,228,0,221.1818181818182,1085.0,20.727272727272727,0.80419921875,0.80419921875,0.02880859375,11.0
2048,4096,2,1647,1647,112,2711,11924,2479,0,11924,232,0,225.36363636363637,1084.0,21.09090909090909,0.80419921875,0.80419921875,0.02734375,11.0
2048,4096,2,1647,1647,117,2730,11821,2497,0,11821,233,0,227.0,1074.6363636363637,21.181818181818183,0.80419921875,0.80419921875,0.028564453125,11.0
2048,4096,2,1647,1647,106,2703,11843,2514,0,11843,189,0,228.54545454545453,1076.6363636363637,17.181818181818183,0.80419921875,0.80419921875,0.02587890625,11.0
2048,4096,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,4096,2,1647,1647,103,2684,11795,2483,0,11795,201,0,225.72727272727272,1072.2727272727273,18.272727272727273,0.80419921875,0.80419921875,0.025146484375,11.0
2048,4096,2,1647,1647,99,2667,11845,2446,0,11845,221,0,222.36363636363637,1076.8181818181818,20.09090909090909,0.80419921875,0.80419921875,0.024169921875,11.0
2048,4096,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,4096,2,1649,1649,110,2752,11976,2536,0,11976,216,0,230.54545454545453,1088.7272727272727,19.636363636363637,0.80517578125,0.80517578125,0.02685546875,11.0
2048,8192,2,2002,2002,580,4466,17119,3330,0,17119,1136,0,302.72727272727275,1556.2727272727273,103.27272727272727,0.9775390625,0.9775390625,0.07080078125,11.0
2048,8192,2,2002,2002,615,4460,17131,3212,0,17131,1248,0,292.0,1557.3636363636363,113.45454545454545,0.9775390625,0.9775390625,0.0750732421875,11.0
2048,8192,2,2002,2002,635,4536,17147,3293,0,17147,1243,0,299.3636363636364,1558.8181818181818,113.0,0.9775390625,0.9775390625,0.0775146484375,11.0
2048,8192,2,2002,2002,634,4584,17110,3334,0,17110,1250,0,303.09090909090907,1555.4545454545455,113.63636363636364,0.9775390625,0.9775390625,0.077392578125,11.0
2048,8192,2,2002,2002,587,4341,17039,3189,0,17039,1152,0,289.90909090909093,1549.0,104.72727272727273,0.9775390625,0.9775390625,0.0716552734375,11.0
2048,8192,2,2002,2002,616,4388,17120,3225,0,17120,1163,0,293.1818181818182,1556.3636363636363,105.72727272727273,0.9775390625,0.9775390625,0.0751953125,11.0
2048,8192,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,8192,2,2002,2002,636,4489,17126,3249,0,17126,1240,0,295.3636363636364,1556.909090909091,112.72727272727273,0.9775390625,0.9775390625,0.07763671875,11.0
2048,8192,2,2002,2002,593,4446,17117,3314,0,17117,1132,0,301.27272727272725,1556.090909090909,102.9090909090909,0.9775390625,0.9775390625,0.0723876953125,11.0
2048,8192,2,2002,2002,610,4508,17084,3281,0,17084,1227,0,298.27272727272725,1553.090909090909,111.54545454545455,0.9775390625,0.9775390625,0.074462890625,11.0
2048,8192,2,2003,2003,620,4494,17123,3289,0,17123,1205,0,299.0,1556.6363636363637,109.54545454545455,0.97802734375,0.97802734375,0.07568359375,11.0
2048,8192,2,2002,2002,599,4493,17077,3356,0,17077,1137,0,305.09090909090907,1552.4545454545455,103.36363636363636,0.9775390625,0.9775390625,0.0731201171875,11.0
2048,8192,2,2003,2003,615,4532,17096,3320,0,17096,1212,0,301.8181818181818,1554.1818181818182,110.18181818181819,0.97802734375,0.97802734375,0.0750732421875,11.0
