n,m,trial,time,insert_calls,deletemin_calls,update_calls,normalized_time
524288,1048576,3,0.8060591220855713,2,2,0,2.6972557271508044e-08
524288,1048576,4,0.9052450656890869,417963,417963,28042,3.029154277898845e-08
524288,1048576,5,0.9037129878997803,417961,417961,28146,3.0240275998693776e-08
524288,1048576,6,0.9033589363098145,417961,417961,28184,3.022842863349963e-08
524288,1048576,7,0.894989013671875,417961,417961,27882,2.9948352133495765e-08
524288,1048576,8,0.9059739112854004,417961,417961,28107,3.031593159743862e-08
524288,1048576,9,0.9062998294830322,417961,417961,28014,3.03268375558362e-08
1048576,1048576,0,0.8509628772735596,11958,11958,0,2.028853600677394e-08
1048576,1048576,1,0.849668025970459,7,7,0,2.0257664345990632e-08
1048576,1048576,2,0.8508610725402832,3,3,0,2.0286108792788582e-08
1048576,1048576,3,0.8501551151275635,1,1,0,2.0269277456463898e-08
1048576,1048576,4,0.8513309955596924,1,1,0,2.0297312630646046e-08
1048576,1048576,5,0.8721902370452881,5,5,0,2.0794635702259255e-08
1048576,1048576,6,0.8511250019073486,7,7,0,2.0292401359256474e-08
1048576,1048576,7,0.8493711948394775,28,28,0,2.0250587340342462e-08
1048576,1048576,8,0.8512001037597656,4,4,0,2.029419192695059e-08
1048576,1048576,9,0.8482999801635742,10,10,0,2.02250475922483e-08
