graph,k,trial,time,memory
USA.gr,8,17,50.341378927230835,1355481088
USA.gr,8,18,50.25305509567261,1355792384
USA.gr,8,19,50.215782165527344,1355513856
USA.gr,8,20,50.27326703071594,1355530240
USA.gr,8,21,50.034011125564575,1355595776
USA.gr,8,22,50.10613131523132,1355563008
USA.gr,8,23,50.34818387031555,1355563008
USA.gr,8,24,50.30762600898743,1355644928
USA.gr,8,25,50.354021072387695,1355628544
USA.gr,8,26,50.40276026725769,1355563008
USA.gr,8,27,51.04689884185791,1355710464
USA.gr,8,28,50.33920693397522,1355530240
USA.gr,8,29,50.3461549282074,1355333632
