n,m,trial,time,insert_calls,deletemin_calls,update_calls,normalized_time
1048576,1482910,0,1.3545730113983154,548797,548797,8171,2.675450331146045e-08
1048576,1482910,1,1.2129979133605957,1,1,0,2.395821887540748e-08
1048576,1482910,2,1.3353877067565918,548797,548797,8469,2.6375569660598394e-08
1048576,1482910,3,1.3356549739837646,548797,548797,8197,2.6380848521061636e-08
1048576,1482910,4,1.2014331817626953,1,1,0,2.37298010291721e-08
1048576,1482910,5,1.3339719772338867,548797,548797,8242,2.6347607240053603e-08
1048576,1482910,6,1.202059030532837,1,1,0,2.3742162321514656e-08
1048576,1482910,7,1.3128130435943604,548797,548797,8266,2.592969195947282e-08
1048576,1482910,8,1.2021021842956543,2,2,0,2.374301466205332e-08
1048576,1482910,9,1.2245979309082031,1,1,0,2.4187333663077796e-08
1048576,2097152,0,1.9601001739501953,835771,835771,55638,3.115495322466207e-08
1048576,2097152,1,1.720456838607788,1,1,0,2.734592499109567e-08
1048576,2097152,2,1.7197210788726807,1,1,0,2.7334230405055373e-08
1048576,2097152,3,1.984395980834961,835771,835771,55544,3.154112467503486e-08
1048576,2097152,4,1.9522738456726074,835770,835770,55972,3.103055708682708e-08
1048576,2097152,5,1.9503347873687744,835770,835770,55350,3.0999736585120746e-08
1048576,2097152,6,1.9721858501434326,835771,835771,55595,3.1347049874360283e-08
1048576,2097152,7,1.9527721405029297,835770,835770,56118,3.1038477269855015e-08
1048576,2097152,8,1.9614980220794678,835770,835770,56034,3.117717142231413e-08
1048576,2097152,9,1.7202110290527344,1,1,0,2.7342017953439304e-08
1048576,2965820,0,2.4793031215667725,1,1,0,3.088015135485852e-08
1048576,2965820,1,2.798272132873535,972611,972611,161581,3.4852965836872284e-08
1048576,2965820,2,2.7961158752441406,972611,972611,161710,3.4826109273277236e-08
1048576,2965820,3,2.8052711486816406,972611,972611,161716,3.4940139795396874e-08
1048576,2965820,4,2.7900619506835938,972611,972611,161589,3.475070659052562e-08
1048576,2965820,5,2.7937302589416504,972611,972611,161973,3.4796396007539496e-08
1048576,2965820,6,2.4694929122924805,1,1,0,3.075796349304454e-08
1048576,2965820,7,2.4753220081329346,3,3,0,3.0830565895005555e-08
1048576,2965820,8,2.809415102005005,972611,972611,161728,3.499175345438025e-08
1048576,2965820,9,2.789583921432495,972611,972611,162043,3.474475265310766e-08
1048576,4194304,0,3.91145396232605,1027855,1027855,331839,3.730253183675813e-08
1048576,4194304,1,3.8891239166259766,1027855,1027855,331333,3.7089575926074757e-08
1048576,4194304,2,3.9081969261169434,1027855,1027855,331155,3.7271470318955836e-08
1048576,4194304,3,3.977069139480591,1027855,1027855,331580,3.792828692894545e-08
1048576,4194304,4,3.9128308296203613,1027855,1027855,331711,3.731566266651498e-08
1048576,4194304,5,3.9029440879821777,1027855,1027855,330860,3.722137535078218e-08
1048576,4194304,6,3.922145128250122,1027855,1027855,331239,3.740449074030039e-08
1048576,4194304,7,3.9445579051971436,1027855,1027855,330701,3.7618235637637554e-08
1048576,4194304,8,3.934929132461548,1027855,1027855,331571,3.752640850507305e-08
1048576,4194304,9,3.939146041870117,1027855,1027855,331787,3.7566624087048697e-08
1048576,5931641,0,5.523038864135742,1044803,1044803,561816,3.9562085706903824e-08
1048576,5931641,1,5.5296618938446045,1044803,1044803,561722,3.9609527138229404e-08
1048576,5931641,2,5.516988039016724,1044803,1044803,561910,3.951874303489937e-08
1048576,5931641,3,5.52797794342041,1044803,1044803,561612,3.959746483111062e-08
1048576,5931641,4,5.475482702255249,1044803,1044803,560662,3.922143611190919e-08
1048576,5931641,5,5.516512870788574,1044803,1044803,560515,3.9515339356846456e-08
1048576,5931641,6,5.513692140579224,1044803,1044803,561098,3.949513418120972e-08
1048576,5931641,7,5.504858016967773,1044803,1044803,561700,3.9431854460740784e-08
1048576,5931641,8,5.500555753707886,1044803,1044803,562444,3.940103691409512e-08
1048576,5931641,9,5.53520393371582,1044803,1044803,562258,3.964922533007083e-08
1048576,8388608,0,6.781002998352051,1047709,1047709,736595,3.592704666112291e-08
1048576,8388608,1,6.778842926025391,1047709,1047709,736007,3.59156021861256e-08
1048576,8388608,2,6.776067733764648,1047709,1047709,737304,3.590089868844694e-08
1048576,8388608,3,6.8018128871917725,1047709,1047709,736331,3.6037301419532415e-08
1048576,8388608,4,6.792062997817993,1047709,1047709,736828,3.598564464684589e-08
1048576,8388608,5,6.790410041809082,1047709,1047709,737994,3.597688697078007e-08
1048576,8388608,6,6.78669285774231,1047709,1047709,736572,3.595719262092543e-08
1048576,8388608,7,6.827775239944458,1047709,1047709,736597,3.617485491405306e-08
1048576,8388608,8,6.834143161773682,1047709,1047709,737309,3.6208593377927575e-08
1048576,8388608,9,6.724733829498291,1047709,1047709,736147,3.562892187700426e-08
1048576,11863283,0,10.605133056640625,1048559,1048559,1151900,4.106741351745177e-08
1048576,11863283,1,10.607815265655518,1048559,1048559,1151018,4.1077800127988996e-08
1048576,11863283,2,10.563343048095703,1048559,1048559,1152647,4.0905585509010374e-08
1048576,11863283,3,10.58449101448059,1048559,1048559,1151457,4.0987479086011516e-08
1048576,11863283,4,10.590077877044678,1048559,1048559,1150250,4.1009113703319865e-08
1048576,11863283,5,10.622937679290771,1048559,1048559,1150272,4.1136360299825034e-08
1048576,11863283,6,10.622935771942139,1048559,1048559,1150867,4.1136352913790875e-08
1048576,11863283,7,10.553146123886108,1048559,1048559,1151177,4.086609884713777e-08
1048576,11863283,8,10.596373081207275,1048559,1048559,1151582,4.1033491309064305e-08
1048576,11863283,9,10.616127967834473,1048559,1048559,1150797,4.110999031136598e-08
1048576,16777216,0,14.872458934783936,1048576,1048576,1478749,4.17161238467944e-08
1048576,16777216,1,14.773805141448975,1048576,1048576,1479361,4.143940740879557e-08
1048576,16777216,2,14.827147006988525,1048576,1048576,1479118,4.1589027312190465e-08
1048576,16777216,3,14.85031008720398,1048576,1048576,1480650,4.165399800245616e-08
1048576,16777216,4,14.79227066040039,1048576,1048576,1477902,4.1491201794569327e-08
1048576,16777216,5,14.823668956756592,1048576,1048576,1477663,4.1579271644021743e-08
1048576,16777216,6,14.77077603340149,1048576,1048576,1477259,4.143091098954114e-08
1048576,16777216,7,14.77807903289795,1048576,1048576,1479784,4.1451395351460256e-08
1048576,16777216,8,14.841551780700684,1048576,1048576,1478780,4.162943161431672e-08
1048576,16777216,9,14.776217699050903,1048576,1048576,1478750,4.144617445062442e-08
1048576,23726566,0,20.791788816452026,1048576,1048576,1814409,4.1960988188184804e-08
1048576,23726566,1,20.730642080307007,1048576,1048576,1815380,4.1837584786208306e-08
1048576,23726566,2,20.759803295135498,1048576,1048576,1817594,4.1896436547438353e-08
1048576,23726566,3,20.693623781204224,1048576,1048576,1816858,4.176287623538994e-08
1048576,23726566,4,20.808468103408813,1048576,1048576,1815439,4.199464952291457e-08
1048576,23726566,5,20.715487003326416,1048576,1048576,1815636,4.180699953874415e-08
1048576,23726566,6,20.742679834365845,1048576,1048576,1814967,4.186187880248243e-08
1048576,23726566,7,20.781315803527832,1048576,1048576,1816324,4.193985205721088e-08
1048576,23726566,8,20.744935035705566,1048576,1048576,1816901,4.1866430141360174e-08
1048576,23726566,9,20.770652055740356,1048576,1048576,1817744,4.191833099430945e-08
1048576,33554432,0,29.412791967391968,1048576,1048576,2162175,4.2500339807729966e-08
1048576,33554432,1,29.217344045639038,1048576,1048576,2159977,4.221792516656217e-08
1048576,33554432,2,29.8865008354187,1048576,1048576,2158526,4.3184830687867805e-08
1048576,33554432,3,29.286824941635132,1048576,1048576,2160029,4.2318322357459695e-08
1048576,33554432,4,29.432425022125244,1048576,1048576,2160354,4.252870880780833e-08
1048576,33554432,5,29.32710099220276,1048576,1048576,2163245,4.237651968320609e-08
1048576,33554432,6,29.369760274887085,1048576,1048576,2160498,4.2438160686618755e-08
1048576,33554432,7,29.413312673568726,1048576,1048576,2160637,4.250109220789234e-08
1048576,33554432,8,29.380481004714966,1048576,1048576,2160805,4.245365172402782e-08
1048576,33554432,9,29.37831211090088,1048576,1048576,2160341,4.245051775686795e-08
